Index,frame,SSAO,HBAO,GTAO,,7.242476667,13.77530533,7.079581
246,0.001719,1.719,13.7304,7.7723,,,,
247,0.0084678,8.4678,13.3373,4.6748,,,,
248,0.0103033,10.3033,14.4515,6.0422,,,,
249,0.0021348,2.1348,12.861,6.9952,,,,
250,0.006885,6.885,16.1348,7.336,,,,
251,0.0094062,9.4062,14.1918,14.2217,,,,
252,0.0044558,4.4558,11.3928,1.1145,,,,
253,0.0089155,8.9155,14.4623,5.1813,,,,
254,0.0052529,5.2529,13.6898,7.8399,,,,
255,0.0068748,6.8748,13.954,5.8597,,,,
256,0.0095508,9.5508,14.036,7.0465,,,,
257,0.0074871,7.4871,13.6833,6.8742,,,,
258,0.0073409,7.3409,13.765,11.58,,,,
259,0.004349,4.349,18.4289,7.6073,,,,
260,0.006653,6.653,12.4866,1.7414,,,,
261,0.0085159,8.5159,16.6455,7.008,,,,
262,0.0059541,5.9541,13.2068,7.5188,,,,
263,0.0062174,6.2174,9.2693,8.6355,,,,
264,0.0063952,6.3952,14.1849,9.9507,,,,
265,0.0068825,6.8825,14.0846,7.3818,,,,
266,0.0067783,6.7783,17.6657,3.196,,,,
267,0.0071074,7.1074,14.2535,4.8261,,,,
268,0.0080411,8.0411,9.8978,9.9471,,,,
269,0.008425,8.425,18.0061,11.3442,,,,
270,0.0051819,5.1819,15.032,3.6583,,,,
271,0.0066757,6.6757,12.9369,2.8011,,,,
272,0.0064177,6.4177,10.8789,8.7541,,,,
273,0.0069314,6.9314,16.6904,5.3828,,,,
274,0.0068212,6.8212,11.2733,9.8975,,,,
275,0.0091122,9.1122,14.7606,3.9018,,,,
276,0.0072411,7.2411,13.79,6.9777,,,,
277,0.0044261,4.4261,14.2029,6.8484,,,,
278,0.0097701,9.7701,14.2195,6.9963,,,,
279,0.0060477,6.0477,17.0404,8.2676,,,,
280,0.0061336,6.1336,13.4766,5.4737,,,,
281,0.0058865,5.8865,12.98,8.6068,,,,
282,0.0069776,6.9776,11.6857,10.4246,,,,
283,0.0099355,9.9355,14.2706,6.5928,,,,
284,0.0040098,4.0098,13.5841,2.3292,,,,
285,0.0088128,8.8128,13.8413,6.8401,,,,
286,0.0050317,5.0317,16.6846,7.655,,,,
287,0.0088275,8.8275,14.1435,6.4606,,,,
288,0.0083764,8.3764,14.1605,7.915,,,,
289,0.0037111,3.7111,12.452,5.8263,,,,
290,0.0089778,8.9778,15.6326,8.4109,,,,
291,0.0048262,4.8262,9.843,8.4138,,,,
292,0.0178826,17.8826,14.0233,4.079,,,,
293,0.0052377,5.2377,14.753,6.9135,,,,
294,0.0048403,4.8403,14.2425,6.8719,,,,
295,0.0096688,9.6688,15.8273,9.4799,,,,
296,0.0113348,11.3348,10.832,4.32,,,,
297,0.0101625,10.1625,18.2912,9.1395,,,,
298,0.0059137,5.9137,9.9905,4.8038,,,,
299,0.0104204,10.4204,13.4302,8.2583,,,,
