Index,SSAO-GrayScale,HBAO-GrayScale,GTAO-GrayScale,,SSAO-Light,HBAO-Light,GTAO-Light,,,,,,,,
254,132.195,92.8959,141.58,,143.834,89.0817,144.398,,,,,,,,
255,132.553,92.569,141.118,,143.882,88.7581,143.777,,,,,,,,
256,133.649,92.6557,142.38,,143.548,88.6884,144.138,,,,,,,,
257,133.113,92.8065,141.608,,143.954,88.8407,144.22,,,,,,,,
258,132.833,92.5845,141.65,,144.239,88.7961,144.672,,,,,,,,
259,132.78,93.4893,141.624,,144.158,87.7076,143.627,,,,,,,,
260,133.029,93.2119,140.616,,143.033,88.6117,144.107,,,,,,,,
261,132.856,92.4818,141.517,,143.827,88.6989,143.37,,,,,,,,
262,132.7,91.9956,143.148,,144.331,88.6868,142.959,,,,,,,,
263,133.05,92.6303,142.379,,143.985,89.0192,143.689,,,,,,,,
264,132.787,92.6497,141.66,,144.927,88.6326,144.059,,,,,,,,
265,133.265,92.446,142.524,,143.954,88.7918,144.776,,,,,,,,
266,132.884,92.7791,141.572,,144.362,88.5213,144.144,,,,,,,,
267,132.963,92.4085,141.965,,143.199,88.1259,144.856,,,,,,,,
268,132.539,92.6126,141.672,,144.005,88.3623,143.11,,,,,,,,
269,133.274,92.5087,139.965,,143.783,88.4367,144.07,,,,,,,,
270,133.391,92.4746,141.656,,143.947,88.5099,144.858,,,,,,,,
271,132.905,92.4372,141.543,,144.585,88.0714,144.645,,,,,,,,
272,133.066,91.9898,140.586,,144.04,88.44,143.942,,,,,,,,
273,132.839,92.9461,139.923,,143.342,88.6958,143.785,,,,,,,,
274,133.072,92.8618,140.846,,143.408,88.2074,143.283,,,,,,,,
275,132.52,92.6455,140.656,,145.032,88.296,142.759,,,,,,,,
276,133.365,92.6012,141.409,,146.055,88.4486,144.526,,,,,,,,
277,132.336,92.5024,141.771,,145.512,88.0651,143.052,,,,,,,,
278,132.96,92.3881,142.079,,143.662,88.0965,143.833,,,,,,,,
279,133.029,92.393,141.395,,144.591,88.1218,144.108,,,,,,,,
280,133.013,92.3128,141.672,,143.431,88.0025,144.621,,,,,,,,
281,132.907,91.8795,141.671,,144.125,88.0929,144,,,,,,,,
282,132.656,92.5927,141.039,,144.537,87.1695,144.04,,,,,,,,
283,133.156,92.5255,141.627,,143.808,87.9786,144.566,,,,,,,,
284,133.075,92.3526,141.637,,143.174,87.8743,143.853,,,,,,,,
285,132.946,92.4854,141.877,,144.038,87.988,143.185,,,,,,,,
286,132.865,92.0979,141.649,,142.713,88.3241,143.906,,,,,,,,
287,132.802,92.6401,141.638,,143.62,87.986,144.897,,,,,,,,
288,132.772,92.1279,140.135,,144.054,87.6637,143.97,,,,,,,,
289,132.921,92.4457,141.524,,143.537,87.2545,144.292,,,,,,,,
290,133.249,92.4198,141.637,,143.655,85.9567,143.461,,,,,,,,
291,132.767,92.1231,141.644,,144.09,86.4292,143.962,,,,,,,,
292,132.401,92.0993,141.632,,142.674,87.5019,144.043,,,,,,,,
293,131.124,92.2244,141.603,,144.032,85.4091,143.213,,,,,,,,
294,128.408,92.1537,142.355,,143.259,86.6871,143.995,,,,,,,,
295,129.878,91.9828,141.713,,144.137,87.3698,143.93,,,,,,,,
296,124.524,92.612,143.111,,144.513,87.2767,145.181,,,,,,,,
297,134.55,91.5838,141.851,,143.831,86.7599,143.857,,,,,,,,
298,135.518,92.0746,141.875,,145.027,87.0884,144.094,,,,,,,,
299,134.057,92.1508,143.262,,144.23,86.5583,144.299,,,,,,,,
