Index,SSAO-Mean Blur,HBAO-Mean Blur,GTAO-Mean Blur,,SSAO-Box Blur,HBAO-Box Blur,GTAO-Box Blur,,,,,,,,
272,144.606,86.0574,143.857,,143.984,88.2028,144.86,,,,,,,,
273,143.992,85.8967,144.421,,144.749,88.3453,143.878,,,,,,,,
274,144.173,86.228,144.14,,143.936,87.896,144.068,,,,,,,,
275,144.003,85.7264,144.232,,144.805,88.4648,143.727,,,,,,,,
276,145.441,86.0533,144.147,,143.819,88.345,144.278,,,,,,,,
277,144.665,86.036,144.059,,143.984,88.1047,144.182,,,,,,,,
278,144.802,85.6003,143.376,,143.99,88.2046,144.072,,,,,,,,
279,144.796,85.8184,144.192,,144.008,87.7363,143.352,,,,,,,,
280,145.596,85.7893,144.215,,144.017,88.4118,144.008,,,,,,,,
281,143.978,85.616,144.056,,144.048,88.043,143.254,,,,,,,,
282,144.558,86.1741,144.066,,144.605,87.2834,143.964,,,,,,,,
283,143.972,85.8575,143.787,,143.984,88.2783,143.02,,,,,,,,
284,143.998,85.9183,144.518,,144.01,87.8402,142.711,,,,,,,,
285,144.031,85.7602,143.446,,144,88.1254,143.874,,,,,,,,
286,144.006,85.5918,143.933,,143.988,87.9378,143.854,,,,,,,,
287,144.548,85.3108,143.784,,143.276,88.2847,143.951,,,,,,,,
288,143.979,84.5426,143.989,,144.03,88.3424,143.375,,,,,,,,
289,144.289,85.3618,144.013,,143.945,88.2604,143.797,,,,,,,,
290,143.989,85.5344,144.034,,144,88.4348,142.929,,,,,,,,
291,144.49,84.9701,143.81,,143.941,88.1199,142.917,,,,,,,,
292,144.022,86.2053,143.871,,143.968,88.1925,144.522,,,,,,,,
293,145.275,85.6711,143.908,,144.002,88.1696,143.53,,,,,,,,
294,144.008,85.4373,143.968,,143.98,87.6779,144.494,,,,,,,,
295,143.984,85.5012,143.818,,143.954,87.7334,144.25,,,,,,,,
296,143.999,85.3508,143.878,,143.993,87.1568,145.03,,,,,,,,
297,143.524,85.5816,144.063,,144.025,88.1497,144.394,,,,,,,,
298,144.459,85.3719,144.196,,143.939,87.7424,143.811,,,,,,,,
299,144.003,85.3934,143.594,,143.998,87.7303,144.209,,,,,,,,
